"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
StrokeCap,dart:ui,4,128,128,0,0,0,0,0,4,128,128,0
StrokeJoin,dart:ui,4,128,128,0,0,0,0,0,4,128,128,0
PaintingStyle,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
Clip,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
Paint,dart:ui,11,352,352,0,0,0,0,0,11,352,352,0
ImageByteFormat,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
PixelFormat,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
PathFillType,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
PathOperation,dart:ui,6,192,192,0,0,0,0,0,6,192,192,0
Path,dart:ui,2,96,32,64,0,0,0,0,2,96,32,64
BlurStyle,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
TileMode,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
VertexMode,dart:ui,4,128,128,0,0,0,0,0,4,128,128,0
PointMode,dart:ui,4,128,128,0,0,0,0,0,4,128,128,0
ClipOp,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
Picture,dart:ui,7,448,224,224,0,0,0,0,7,448,224,224
RootIsolateToken,dart:ui,1,16,16,0,0,0,0,0,1,16,16,0
PlatformDispatcher,dart:ui,1,352,352,0,0,0,0,0,1,352,352,0
PlatformConfiguration,dart:ui,2,160,160,0,0,0,0,0,2,160,160,0
ViewConfiguration,dart:ui,2,192,192,0,0,0,0,0,2,192,192,0
FramePhase,dart:ui,7,224,224,0,0,0,0,0,7,224,224,0
_FrameTimingInfo,dart:ui,6,192,192,0,0,0,0,0,6,192,192,0
AppLifecycleState,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
WindowPadding,dart:ui,5,240,240,0,0,0,0,0,5,240,240,0
DisplayFeatureType,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
DisplayFeatureState,dart:ui,4,128,128,0,0,0,0,0,4,128,128,0
Locale,dart:ui,2,64,64,0,0,0,0,0,2,64,64,0
DartPerformanceMode,dart:ui,5,160,160,0,0,0,0,0,5,160,160,0
PointerChange,dart:ui,11,352,352,0,0,0,0,0,11,352,352,0
PointerDeviceKind,dart:ui,7,224,224,0,0,0,0,0,7,224,224,0
PointerSignalKind,dart:ui,6,192,192,0,0,0,0,0,6,192,192,0
SemanticsAction,dart:ui,7,112,112,0,0,0,0,0,7,112,112,0
SemanticsFlag,dart:ui,8,128,128,0,0,0,0,0,8,128,128,0
FontStyle,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
FontWeight,dart:ui,9,288,288,0,0,0,0,0,9,288,288,0
FontVariation,dart:ui,28,896,896,0,0,0,0,0,28,896,896,0
TextAlign,dart:ui,7,224,224,0,0,0,0,0,7,224,224,0
TextBaseline,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
TextDecoration,dart:ui,2,32,32,0,0,0,0,0,2,32,32,0
TextDecorationStyle,dart:ui,6,192,192,0,0,0,0,0,6,192,192,0
TextLeadingDistribution,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
TextDirection,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
TextAffinity,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
BoxHeightStyle,dart:ui,7,224,224,0,0,0,0,0,7,224,224,0
BoxWidthStyle,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
PlaceholderAlignment,dart:ui,7,224,224,0,0,0,0,0,7,224,224,0
Paragraph,dart:ui,1146,73344,36672,36672,0,0,0,0,1146,73344,36672,36672
FlutterWindow,dart:ui,1,32,32,0,0,0,0,0,1,32,32,0
SingletonFlutterWindow,dart:ui,1,32,32,0,0,0,0,0,1,32,32,0
AccessibilityFeatures,dart:ui,1,16,16,0,0,0,0,0,1,16,16,0
