"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
HorizontalDragGestureRecognizer,package:flutter/src/gestures/monodrag.dart,2,448,448,0,0,0,0,0,2,448,448,0
PointerRouter,package:flutter/src/gestures/pointer_router.dart,1,32,32,0,0,0,0,0,1,32,32,0
PointerSignalResolver,package:flutter/src/gestures/pointer_signal_resolver.dart,1,32,32,0,0,0,0,0,1,32,32,0
DragStartBehavior,package:flutter/src/gestures/recognizer.dart,3,96,96,0,0,0,0,0,3,96,96,0
GestureRecognizerState,package:flutter/src/gestures/recognizer.dart,4,128,128,0,0,0,0,0,4,128,128,0
_ScaleState,package:flutter/src/gestures/scale.dart,5,160,160,0,0,0,0,0,5,160,160,0
ScaleGestureRecognizer,package:flutter/src/gestures/scale.dart,1,256,256,0,0,0,0,0,1,256,256,0
TapGestureRecognizer,package:flutter/src/gestures/tap.dart,7,1792,1792,0,0,0,0,0,7,1792,1792,0
_ActionLevel,package:flutter/src/material/about.dart,3,96,96,0,0,0,0,0,3,96,96,0
_LayoutMode,package:flutter/src/material/about.dart,4,128,128,0,0,0,0,0,4,128,128,0
_Focus,package:flutter/src/material/about.dart,3,96,96,0,0,0,0,0,3,96,96,0
ChipThemeData,package:flutter/src/material/chip_theme.dart,1,176,176,0,0,0,0,0,1,176,176,0
ThemeMode,package:flutter/src/material/app.dart,4,128,128,0,0,0,0,0,4,128,128,0
MaterialApp,package:flutter/src/material/app.dart,1,352,352,0,0,0,0,0,1,352,352,0
MaterialScrollBehavior,package:flutter/src/material/app.dart,1,32,32,0,0,0,0,0,1,32,32,0
_MaterialAppState,package:flutter/src/material/app.dart,1,48,48,0,0,0,0,0,1,48,48,0
_ToolbarContainerLayout,package:flutter/src/material/app_bar.dart,2,64,64,0,0,0,0,0,2,64,64,0
_PreferredAppBarSize,package:flutter/src/material/app_bar.dart,3,144,144,0,0,0,0,0,3,144,144,0
AppBar,package:flutter/src/material/app_bar.dart,3,816,816,0,0,0,0,0,3,816,816,0
_AppBarState,package:flutter/src/material/app_bar.dart,2,128,128,0,0,0,0,0,2,128,128,0
_AppBarTitleBox,package:flutter/src/material/app_bar.dart,2,64,64,0,0,0,0,0,2,64,64,0
_RenderAppBarTitleBox,package:flutter/src/material/app_bar.dart,2,576,576,0,0,0,0,0,2,576,576,0
_ScrollUnderFlexibleVariant,package:flutter/src/material/app_bar.dart,3,96,96,0,0,0,0,0,3,96,96,0
AppBarTheme,package:flutter/src/material/app_bar_theme.dart,1,160,160,0,0,0,0,0,1,160,160,0
_CornerId,package:flutter/src/material/arc.dart,5,160,160,0,0,0,0,0,5,160,160,0
BackButton,package:flutter/src/material/back_button.dart,1,48,48,0,0,0,0,0,1,48,48,0
CloseButton,package:flutter/src/material/back_button.dart,1,48,48,0,0,0,0,0,1,48,48,0
BadgeThemeData,package:flutter/src/material/badge_theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
MaterialBannerClosedReason,package:flutter/src/material/banner.dart,5,160,160,0,0,0,0,0,5,160,160,0
MaterialBannerThemeData,package:flutter/src/material/banner_theme.dart,1,80,80,0,0,0,0,0,1,80,80,0
BottomAppBarTheme,package:flutter/src/material/bottom_app_bar_theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
BottomNavigationBarType,package:flutter/src/material/bottom_navigation_bar.dart,3,96,96,0,0,0,0,0,3,96,96,0
BottomNavigationBarLandscapeLayout,package:flutter/src/material/bottom_navigation_bar.dart,4,128,128,0,0,0,0,0,4,128,128,0
BottomNavigationBarThemeData,package:flutter/src/material/bottom_navigation_bar_theme.dart,1,128,128,0,0,0,0,0,1,128,128,0
BottomSheetThemeData,package:flutter/src/material/bottom_sheet_theme.dart,1,80,80,0,0,0,0,0,1,80,80,0
Flex,package:flutter/src/widgets/basic.dart,1,96,96,0,0,0,0,0,1,96,96,0
RenderFlex,package:flutter/src/rendering/flex.dart,6,2208,2208,0,0,0,0,0,6,2208,2208,0
ButtonBarThemeData,package:flutter/src/material/button_bar_theme.dart,1,80,80,0,0,0,0,0,1,80,80,0
ButtonStyle,package:flutter/src/material/button_style.dart,6,1152,1152,0,0,0,0,0,6,1152,1152,0
BorderSide,package:flutter/src/painting/borders.dart,3,144,144,0,0,0,0,0,3,144,144,0
_ButtonStyleState,package:flutter/src/material/button_style_button.dart,2,192,192,0,0,0,0,0,2,192,192,0
_MouseCursor,package:flutter/src/material/button_style_button.dart,2,32,32,0,0,0,0,0,2,32,32,0
_InputPadding,package:flutter/src/material/button_style_button.dart,2,96,96,0,0,0,0,0,2,96,96,0
_RenderInputPadding,package:flutter/src/material/button_style_button.dart,2,544,544,0,0,0,0,0,2,544,544,0
ButtonTextTheme,package:flutter/src/material/button_theme.dart,4,128,128,0,0,0,0,0,4,128,128,0
ButtonBarLayoutBehavior,package:flutter/src/material/button_theme.dart,3,96,96,0,0,0,0,0,3,96,96,0
ButtonThemeData,package:flutter/src/material/button_theme.dart,2,256,256,0,0,0,0,0,2,256,256,0
CardTheme,package:flutter/src/material/card_theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
CheckboxThemeData,package:flutter/src/material/checkbox_theme.dart,1,80,80,0,0,0,0,0,1,80,80,0
_ChipSlot,package:flutter/src/material/chip.dart,4,128,128,0,0,0,0,0,4,128,128,0
ColorScheme,package:flutter/src/material/color_scheme.dart,5,1360,1360,0,0,0,0,0,5,1360,1360,0
MaterialColor,package:flutter/src/material/colors.dart,4,128,128,0,0,0,0,0,4,128,128,0
MaterialAccentColor,package:flutter/src/material/colors.dart,1,32,32,0,0,0,0,0,1,32,32,0
InkResponse,package:flutter/src/material/ink_well.dart,2,512,512,0,0,0,0,0,2,512,512,0
DataTableThemeData,package:flutter/src/material/data_table_theme.dart,1,96,96,0,0,0,0,0,1,96,96,0
DatePickerEntryMode,package:flutter/src/material/date.dart,5,160,160,0,0,0,0,0,5,160,160,0
DatePickerMode,package:flutter/src/material/date.dart,3,96,96,0,0,0,0,0,3,96,96,0
AutovalidateMode,package:flutter/src/widgets/form.dart,4,128,128,0,0,0,0,0,4,128,128,0
_HighlightPainterStyle,package:flutter/src/material/date_picker.dart,5,160,160,0,0,0,0,0,5,160,160,0
DialogTheme,package:flutter/src/material/dialog_theme.dart,1,96,96,0,0,0,0,0,1,96,96,0
DividerThemeData,package:flutter/src/material/divider_theme.dart,1,48,48,0,0,0,0,0,1,48,48,0
DrawerAlignment,package:flutter/src/material/drawer.dart,3,96,96,0,0,0,0,0,3,96,96,0
DrawerThemeData,package:flutter/src/material/drawer_theme.dart,1,80,80,0,0,0,0,0,1,80,80,0
_DropdownRouteResult,package:flutter/src/material/dropdown.dart,1,32,32,0,0,0,0,0,1,32,32,0
_DropdownRoute,package:flutter/src/material/dropdown.dart,1,352,352,0,0,0,0,0,1,352,352,0
_MenuItem,package:flutter/src/material/dropdown.dart,1136,72704,72704,0,0,0,0,0,1136,72704,72704,0
DropdownMenuItem,package:flutter/src/material/dropdown.dart,1137,90960,90960,0,0,0,0,0,1137,90960,90960,0
DropdownButton,package:flutter/src/material/dropdown.dart,2,512,512,0,0,0,0,0,2,512,512,0
_DropdownButtonState,package:flutter/src/material/dropdown.dart,1,96,96,0,0,0,0,0,1,96,96,0
DropdownMenuThemeData,package:flutter/src/material/dropdown_menu_theme.dart,1,32,32,0,0,0,0,0,1,32,32,0
ElevatedButton,package:flutter/src/material/elevated_button.dart,4,448,448,0,0,0,0,0,4,448,448,0
_ElevatedButtonDefaultColor,package:flutter/src/material/elevated_button.dart,12,384,384,0,0,0,0,0,12,384,384,0
_ElevatedButtonDefaultOverlay,package:flutter/src/material/elevated_button.dart,6,192,192,0,0,0,0,0,6,192,192,0
_ElevatedButtonDefaultElevation,package:flutter/src/material/elevated_button.dart,6,192,192,0,0,0,0,0,6,192,192,0
_ElevatedButtonDefaultMouseCursor,package:flutter/src/material/elevated_button.dart,2,64,64,0,0,0,0,0,2,64,64,0
ElevatedButtonThemeData,package:flutter/src/material/elevated_button_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpansionTileThemeData,package:flutter/src/material/expansion_tile_theme.dart,1,112,112,0,0,0,0,0,1,112,112,0
_FilledButtonVariant,package:flutter/src/material/filled_button.dart,3,96,96,0,0,0,0,0,3,96,96,0
FilledButtonThemeData,package:flutter/src/material/filled_button_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
CollapseMode,package:flutter/src/material/flexible_space_bar.dart,4,128,128,0,0,0,0,0,4,128,128,0
StretchMode,package:flutter/src/material/flexible_space_bar.dart,4,128,128,0,0,0,0,0,4,128,128,0
FlexibleSpaceBarSettings,package:flutter/src/material/flexible_space_bar.dart,3,240,240,0,0,0,0,0,3,240,240,0
_FloatingActionButtonType,package:flutter/src/material/floating_action_button.dart,5,160,160,0,0,0,0,0,5,160,160,0
FloatingActionButtonThemeData,package:flutter/src/material/floating_action_button_theme.dart,1,176,176,0,0,0,0,0,1,176,176,0
_EndFloatFabLocation,package:flutter/src/material/floating_action_button_location.dart,1,16,16,0,0,0,0,0,1,16,16,0
_ScalingFabMotionAnimator,package:flutter/src/material/floating_action_button_location.dart,1,16,16,0,0,0,0,0,1,16,16,0
_AnimationSwap,package:flutter/src/material/floating_action_button_location.dart,4,384,384,0,0,0,0,0,4,384,384,0
IconButton,package:flutter/src/material/icon_button.dart,3,624,624,0,0,0,0,0,3,624,624,0
IconButtonThemeData,package:flutter/src/material/icon_button_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
_InkRippleFactory,package:flutter/src/material/ink_ripple.dart,1,16,16,0,0,0,0,0,1,16,16,0
_InkSparkleFactory,package:flutter/src/material/ink_sparkle.dart,1,16,16,0,0,0,0,0,1,16,16,0
_InkSplashFactory,package:flutter/src/material/ink_splash.dart,1,16,16,0,0,0,0,0,1,16,16,0
_ParentInkResponseProvider,package:flutter/src/material/ink_well.dart,5,240,240,0,0,0,0,0,5,240,240,0
_InkResponseStateWidget,package:flutter/src/material/ink_well.dart,5,1360,1360,0,0,0,0,0,5,1360,1360,0
_HighlightType,package:flutter/src/material/ink_well.dart,4,128,128,0,0,0,0,0,4,128,128,0
_InkResponseState,package:flutter/src/material/ink_well.dart,5,560,560,0,0,0,0,0,5,560,560,0
InkWell,package:flutter/src/material/ink_well.dart,3,768,768,0,0,0,0,0,3,768,768,0
FloatingLabelBehavior,package:flutter/src/material/input_decorator.dart,4,128,128,0,0,0,0,0,4,128,128,0
FloatingLabelAlignment,package:flutter/src/material/input_decorator.dart,1,16,16,0,0,0,0,0,1,16,16,0
_DecorationSlot,package:flutter/src/material/input_decorator.dart,12,384,384,0,0,0,0,0,12,384,384,0
InputDecorationTheme,package:flutter/src/material/input_decorator.dart,1,272,272,0,0,0,0,0,1,272,272,0
ListTileStyle,package:flutter/src/material/list_tile.dart,3,96,96,0,0,0,0,0,3,96,96,0
ListTileControlAffinity,package:flutter/src/material/list_tile.dart,4,128,128,0,0,0,0,0,4,128,128,0
_ListTileSlot,package:flutter/src/material/list_tile.dart,5,160,160,0,0,0,0,0,5,160,160,0
ListTileThemeData,package:flutter/src/material/list_tile_theme.dart,1,128,128,0,0,0,0,0,1,128,128,0
MaterialType,package:flutter/src/material/material.dart,6,192,192,0,0,0,0,0,6,192,192,0
Material,package:flutter/src/material/material.dart,6,768,768,0,0,0,0,0,6,768,768,0
_MaterialState,package:flutter/src/material/material.dart,6,384,384,0,0,0,0,0,6,384,384,0
_RenderInkFeatures,package:flutter/src/material/material.dart,6,1728,1728,0,0,0,0,0,6,1728,1728,0
_InkFeatures,package:flutter/src/material/material.dart,6,384,384,0,0,0,0,0,6,384,384,0
ShapeBorderTween,package:flutter/src/material/material.dart,2,64,64,0,0,0,0,0,2,64,64,0
_MaterialInterior,package:flutter/src/material/material.dart,2,224,224,0,0,0,0,0,2,224,224,0
_MaterialInteriorState,package:flutter/src/material/material.dart,2,224,224,0,0,0,0,0,2,224,224,0
_ShapeBorderPaint,package:flutter/src/material/material.dart,2,96,96,0,0,0,0,0,2,96,96,0
_ShapeBorderPainter,package:flutter/src/material/material.dart,2,64,64,0,0,0,0,0,2,64,64,0
_MaterialLocalizationsDelegate,package:flutter/src/material/material_localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultMaterialLocalizations,package:flutter/src/material/material_localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
MaterialState,package:flutter/src/material/material_state.dart,9,288,288,0,0,0,0,0,9,288,288,0
_EnabledAndDisabledMouseCursor,package:flutter/src/material/material_state.dart,1,32,32,0,0,0,0,0,1,32,32,0
TextStyle,package:flutter/src/painting/text_style.dart,268,60032,60032,0,0,0,0,0,268,60032,60032,0
_MaterialStatePropertyWith,package:flutter/src/material/material_state.dart,2,64,64,0,0,0,0,0,2,64,64,0
MaterialStatePropertyAll,package:flutter/src/material/material_state.dart,20,640,640,0,0,0,0,0,20,640,640,0
MaterialStatesController,package:flutter/src/material/material_state.dart,5,400,400,0,0,0,0,0,5,400,400,0
DirectionalFocusAction,package:flutter/src/widgets/focus_traversal.dart,1,48,48,0,0,0,0,0,1,48,48,0
MenuBarThemeData,package:flutter/src/material/menu_bar_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
MenuThemeData,package:flutter/src/material/menu_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
MenuButtonThemeData,package:flutter/src/material/menu_button_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
NavigationDestinationLabelBehavior,package:flutter/src/material/navigation_bar.dart,4,128,128,0,0,0,0,0,4,128,128,0
NavigationBarThemeData,package:flutter/src/material/navigation_bar_theme.dart,1,96,96,0,0,0,0,0,1,96,96,0
NavigationDrawerThemeData,package:flutter/src/material/navigation_drawer_theme.dart,1,96,96,0,0,0,0,0,1,96,96,0
NavigationRailLabelType,package:flutter/src/material/navigation_rail.dart,4,128,128,0,0,0,0,0,4,128,128,0
NavigationRailThemeData,package:flutter/src/material/navigation_rail_theme.dart,1,112,112,0,0,0,0,0,1,112,112,0
OutlinedButtonThemeData,package:flutter/src/material/outlined_button_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
MaterialPageRoute,package:flutter/src/material/page.dart,3,816,816,0,0,0,0,0,3,816,816,0
ZoomPageTransitionsBuilder,package:flutter/src/material/page_transitions_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
CupertinoPageTransitionsBuilder,package:flutter/src/material/page_transitions_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
PageTransitionsTheme,package:flutter/src/material/page_transitions_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
PopupMenuThemeData,package:flutter/src/material/popup_menu_theme.dart,1,96,96,0,0,0,0,0,1,96,96,0
PopupMenuPosition,package:flutter/src/material/popup_menu_theme.dart,3,96,96,0,0,0,0,0,3,96,96,0
_ActivityIndicatorType,package:flutter/src/material/progress_indicator.dart,3,96,96,0,0,0,0,0,3,96,96,0
ProgressIndicatorThemeData,package:flutter/src/material/progress_indicator_theme.dart,1,48,48,0,0,0,0,0,1,48,48,0
RadioThemeData,package:flutter/src/material/radio_theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
_RefreshIndicatorMode,package:flutter/src/material/refresh_indicator.dart,7,224,224,0,0,0,0,0,7,224,224,0
RefreshIndicatorTriggerMode,package:flutter/src/material/refresh_indicator.dart,3,96,96,0,0,0,0,0,3,96,96,0
GlobalObjectKey,package:flutter/src/widgets/framework.dart,4,128,128,0,0,0,0,0,4,128,128,0
_ScaffoldSlot,package:flutter/src/material/scaffold.dart,13,416,416,0,0,0,0,0,13,416,416,0
ScaffoldMessenger,package:flutter/src/material/scaffold.dart,1,32,32,0,0,0,0,0,1,32,32,0
ScaffoldMessengerState,package:flutter/src/material/scaffold.dart,1,112,112,0,0,0,0,0,1,112,112,0
_ScaffoldMessengerScope,package:flutter/src/material/scaffold.dart,1,48,48,0,0,0,0,0,1,48,48,0
ScaffoldGeometry,package:flutter/src/material/scaffold.dart,3,96,96,0,0,0,0,0,3,96,96,0
_ScaffoldGeometryNotifier,package:flutter/src/material/scaffold.dart,2,160,160,0,0,0,0,0,2,160,160,0
_BodyBoxConstraints,package:flutter/src/material/scaffold.dart,2,128,128,0,0,0,0,0,2,128,128,0
BoxConstraints,package:flutter/src/rendering/box.dart,4661,223728,223728,0,0,0,0,0,4661,223728,223728,0
_BodyBuilder,package:flutter/src/material/scaffold.dart,3,144,144,0,0,0,0,0,3,144,144,0
_ScaffoldLayout,package:flutter/src/material/scaffold.dart,2,288,288,0,0,0,0,0,2,288,288,0
_FloatingActionButtonTransition,package:flutter/src/material/scaffold.dart,3,192,192,0,0,0,0,0,3,192,192,0
_FloatingActionButtonTransitionState,package:flutter/src/material/scaffold.dart,2,224,224,0,0,0,0,0,2,224,224,0
Scaffold,package:flutter/src/material/scaffold.dart,2,448,448,0,0,0,0,0,2,448,448,0
ScaffoldState,package:flutter/src/material/scaffold.dart,2,544,544,0,0,0,0,0,2,544,544,0
_DismissDrawerAction,package:flutter/src/material/scaffold.dart,2,96,96,0,0,0,0,0,2,96,96,0
_ScaffoldScope,package:flutter/src/material/scaffold.dart,2,96,96,0,0,0,0,0,2,96,96,0
ScrollbarThemeData,package:flutter/src/material/scrollbar_theme.dart,1,112,112,0,0,0,0,0,1,112,112,0
_SearchBody,package:flutter/src/material/search.dart,3,96,96,0,0,0,0,0,3,96,96,0
SegmentedButtonThemeData,package:flutter/src/material/segmented_button_theme.dart,1,32,32,0,0,0,0,0,1,32,32,0
_SliderType,package:flutter/src/material/slider.dart,3,96,96,0,0,0,0,0,3,96,96,0
_SliderAdjustmentType,package:flutter/src/material/slider.dart,5,160,160,0,0,0,0,0,5,160,160,0
SliderThemeData,package:flutter/src/material/slider_theme.dart,1,256,256,0,0,0,0,0,1,256,256,0
ShowValueIndicator,package:flutter/src/material/slider_theme.dart,5,160,160,0,0,0,0,0,5,160,160,0
Thumb,package:flutter/src/material/slider_theme.dart,3,96,96,0,0,0,0,0,3,96,96,0
SnackBarClosedReason,package:flutter/src/material/snack_bar.dart,7,224,224,0,0,0,0,0,7,224,224,0
SnackBarThemeData,package:flutter/src/material/snack_bar_theme.dart,1,96,96,0,0,0,0,0,1,96,96,0
SnackBarBehavior,package:flutter/src/material/snack_bar_theme.dart,3,96,96,0,0,0,0,0,3,96,96,0
StepState,package:flutter/src/material/stepper.dart,6,192,192,0,0,0,0,0,6,192,192,0
StepperType,package:flutter/src/material/stepper.dart,3,96,96,0,0,0,0,0,3,96,96,0
_SwitchType,package:flutter/src/material/switch.dart,3,96,96,0,0,0,0,0,3,96,96,0
SwitchThemeData,package:flutter/src/material/switch_theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
_SwitchListTileType,package:flutter/src/material/switch_list_tile.dart,3,96,96,0,0,0,0,0,3,96,96,0
TabBarTheme,package:flutter/src/material/tab_bar_theme.dart,1,112,112,0,0,0,0,0,1,112,112,0
TabBarIndicatorSize,package:flutter/src/material/tabs.dart,3,96,96,0,0,0,0,0,3,96,96,0
ScrollController,package:flutter/src/widgets/scroll_controller.dart,3,288,288,0,0,0,0,0,3,288,288,0
TextButtonThemeData,package:flutter/src/material/text_button_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
TextSelectionThemeData,package:flutter/src/material/text_selection_theme.dart,1,32,32,0,0,0,0,0,1,32,32,0
MultiChildRenderObjectElement,package:flutter/src/widgets/framework.dart,1161,204336,204336,0,0,0,0,0,1161,204336,204336,0
_TextSelectionToolbarItemPosition,package:flutter/src/material/text_selection_toolbar_text_button.dart,5,160,160,0,0,0,0,0,5,160,160,0
TextTheme,package:flutter/src/material/text_theme.dart,16,2048,2048,0,0,0,0,0,16,2048,2048,0
Theme,package:flutter/src/material/theme.dart,1,48,48,0,0,0,0,0,1,48,48,0
_InheritedTheme,package:flutter/src/material/theme.dart,1,48,48,0,0,0,0,0,1,48,48,0
ThemeDataTween,package:flutter/src/material/theme.dart,1,32,32,0,0,0,0,0,1,32,32,0
ThemeData,package:flutter/src/material/theme_data.dart,3,2208,2208,0,0,0,0,0,3,2208,2208,0
AnimatedTheme,package:flutter/src/material/theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
_AnimatedThemeState,package:flutter/src/material/theme.dart,1,80,80,0,0,0,0,0,1,80,80,0
MaterialTapTargetSize,package:flutter/src/material/theme_data.dart,3,96,96,0,0,0,0,0,3,96,96,0
MaterialBasedCupertinoThemeData,package:flutter/src/material/theme_data.dart,1,80,80,0,0,0,0,0,1,80,80,0
_IdentityThemeDataCacheKey,package:flutter/src/material/theme_data.dart,1,32,32,0,0,0,0,0,1,32,32,0
_FifoCache,package:flutter/src/material/theme_data.dart,1,32,32,0,0,0,0,0,1,32,32,0
VisualDensity,package:flutter/src/material/theme_data.dart,2,64,64,0,0,0,0,0,2,64,64,0
DayPeriod,package:flutter/src/material/time.dart,3,96,96,0,0,0,0,0,3,96,96,0
TimeOfDayFormat,package:flutter/src/material/time.dart,7,224,224,0,0,0,0,0,7,224,224,0
HourFormat,package:flutter/src/material/time.dart,4,128,128,0,0,0,0,0,4,128,128,0
_TimePickerMode,package:flutter/src/material/time_picker.dart,3,96,96,0,0,0,0,0,3,96,96,0
TimePickerEntryMode,package:flutter/src/material/time_picker.dart,5,160,160,0,0,0,0,0,5,160,160,0
TimePickerThemeData,package:flutter/src/material/time_picker_theme.dart,1,144,144,0,0,0,0,0,1,144,144,0
ToggleButtonsThemeData,package:flutter/src/material/toggle_buttons_theme.dart,1,128,128,0,0,0,0,0,1,128,128,0
TooltipThemeData,package:flutter/src/material/tooltip_theme.dart,1,112,112,0,0,0,0,0,1,112,112,0
TooltipTriggerMode,package:flutter/src/material/tooltip_theme.dart,4,128,128,0,0,0,0,0,4,128,128,0
ScriptCategory,package:flutter/src/material/typography.dart,4,128,128,0,0,0,0,0,4,128,128,0
Typography,package:flutter/src/material/typography.dart,2,96,96,0,0,0,0,0,2,96,96,0
Alignment,package:flutter/src/painting/alignment.dart,1145,36640,36640,0,0,0,0,0,1145,36640,36640,0
AlignmentDirectional,package:flutter/src/painting/alignment.dart,3,96,96,0,0,0,0,0,3,96,96,0
RenderComparison,package:flutter/src/painting/basic_types.dart,5,160,160,0,0,0,0,0,5,160,160,0
Axis,package:flutter/src/painting/basic_types.dart,3,96,96,0,0,0,0,0,3,96,96,0
VerticalDirection,package:flutter/src/painting/basic_types.dart,3,96,96,0,0,0,0,0,3,96,96,0
AxisDirection,package:flutter/src/painting/basic_types.dart,5,160,160,0,0,0,0,0,5,160,160,0
_SystemFontsNotifier,package:flutter/src/painting/binding.dart,1,16,16,0,0,0,0,0,1,16,16,0
BorderRadius,package:flutter/src/painting/border_radius.dart,4,192,192,0,0,0,0,0,4,192,192,0
BorderStyle,package:flutter/src/painting/borders.dart,3,96,96,0,0,0,0,0,3,96,96,0
BoxShape,package:flutter/src/painting/box_border.dart,3,96,96,0,0,0,0,0,3,96,96,0
Border,package:flutter/src/painting/box_border.dart,1,48,48,0,0,0,0,0,1,48,48,0
BoxDecoration,package:flutter/src/painting/box_decoration.dart,1,80,80,0,0,0,0,0,1,80,80,0
_BoxDecorationPainter,package:flutter/src/painting/box_decoration.dart,1,48,48,0,0,0,0,0,1,48,48,0
BoxFit,package:flutter/src/painting/box_fit.dart,8,256,256,0,0,0,0,0,8,256,256,0
FittedSizes,package:flutter/src/painting/box_fit.dart,1,32,32,0,0,0,0,0,1,32,32,0
BoxShadow,package:flutter/src/painting/box_shadow.dart,31,1488,1488,0,0,0,0,0,31,1488,1488,0
CircleBorder,package:flutter/src/painting/circle_border.dart,1,32,32,0,0,0,0,0,1,32,32,0
ImageRepeat,package:flutter/src/painting/decoration_image.dart,5,160,160,0,0,0,0,0,5,160,160,0
EdgeInsets,package:flutter/src/painting/edge_insets.dart,65,3120,3120,0,0,0,0,0,65,3120,3120,0
EdgeInsetsDirectional,package:flutter/src/painting/edge_insets.dart,2,96,96,0,0,0,0,0,2,96,96,0
_MixedEdgeInsets,package:flutter/src/painting/edge_insets.dart,1,64,64,0,0,0,0,0,1,64,64,0
FlutterLogoStyle,package:flutter/src/painting/flutter_logo.dart,4,128,128,0,0,0,0,0,4,128,128,0
ImageCache,package:flutter/src/painting/image_cache.dart,1,64,64,0,0,0,0,0,1,64,64,0
ImageConfiguration,package:flutter/src/painting/image_provider.dart,4,256,256,0,0,0,0,0,4,256,256,0
InlineSpanSemanticsInformation,package:flutter/src/painting/inline_span.dart,1145,73280,73280,0,0,0,0,0,1145,73280,73280,0
RoundedRectangleBorder,package:flutter/src/painting/rounded_rectangle_border.dart,10,320,320,0,0,0,0,0,10,320,320,0
TextOverflow,package:flutter/src/painting/text_painter.dart,5,160,160,0,0,0,0,0,5,160,160,0
PlaceholderDimensions,package:flutter/src/painting/text_painter.dart,1,48,48,0,0,0,0,0,1,48,48,0
TextWidthBasis,package:flutter/src/painting/text_painter.dart,3,96,96,0,0,0,0,0,3,96,96,0
TextPainter,package:flutter/src/painting/text_painter.dart,1152,239616,239616,0,0,0,0,0,1152,239616,239616,0
TextSpan,package:flutter/src/painting/text_span.dart,1152,110592,110592,0,0,0,0,0,1152,110592,110592,0
SpringType,package:flutter/src/physics/spring_simulation.dart,4,128,128,0,0,0,0,0,4,128,128,0
Tolerance,package:flutter/src/physics/tolerance.dart,2,64,64,0,0,0,0,0,2,64,64,0
RenderAnimatedSizeState,package:flutter/src/rendering/animated_size.dart,5,160,160,0,0,0,0,0,5,160,160,0
_DebugSize,package:flutter/src/rendering/box.dart,4740,227520,227520,0,0,0,0,0,4740,227520,227520,0
BoxParentData,package:flutter/src/rendering/box.dart,1167,18672,18672,0,0,0,0,0,1167,18672,18672,0
ParentData,package:flutter/src/rendering/object.dart,2398,38368,38368,0,0,0,0,0,2398,38368,38368,0
_IntrinsicDimension,package:flutter/src/rendering/box.dart,5,160,160,0,0,0,0,0,5,160,160,0
RenderCustomMultiChildLayoutBox,package:flutter/src/rendering/custom_layout.dart,4,1152,1152,0,0,0,0,0,4,1152,1152,0
RenderCustomPaint,package:flutter/src/rendering/custom_paint.dart,4,1344,1344,0,0,0,0,0,4,1344,1344,0
_OverflowSide,package:flutter/src/rendering/debug_overflow_indicator.dart,5,160,160,0,0,0,0,0,5,160,160,0
FlexFit,package:flutter/src/rendering/flex.dart,3,96,96,0,0,0,0,0,3,96,96,0
FlexParentData,package:flutter/src/rendering/flex.dart,17,1088,1088,0,0,0,0,0,17,1088,1088,0
MainAxisSize,package:flutter/src/rendering/flex.dart,3,96,96,0,0,0,0,0,3,96,96,0
MainAxisAlignment,package:flutter/src/rendering/flex.dart,7,224,224,0,0,0,0,0,7,224,224,0
CrossAxisAlignment,package:flutter/src/rendering/flex.dart,6,192,192,0,0,0,0,0,6,192,192,0
LayerHandle,package:flutter/src/rendering/layer.dart,4768,152576,152576,0,0,0,0,0,4768,152576,152576,0
PictureLayer,package:flutter/src/rendering/layer.dart,7,1120,1120,0,0,0,0,0,7,1120,1120,0
OffsetLayer,package:flutter/src/rendering/layer.dart,4,576,576,0,0,0,0,0,4,576,576,0
TransformLayer,package:flutter/src/rendering/layer.dart,1,176,176,0,0,0,0,0,1,176,176,0
AnnotatedRegionLayer,package:flutter/src/rendering/layer.dart,2,352,352,0,0,0,0,0,2,352,352,0
MouseTracker,package:flutter/src/rendering/mouse_tracker.dart,1,80,80,0,0,0,0,0,1,80,80,0
PipelineOwner,package:flutter/src/rendering/object.dart,1,144,144,0,0,0,0,0,1,144,144,0
SemanticsTag,package:flutter/src/semantics/semantics.dart,1,16,16,0,0,0,0,0,1,16,16,0
